location:x, location:y, action, reward
-9.907, 7.155, 3.000, -5.395
-9.834, 7.087, 3.000, -5.412
-9.933, 7.101, 3.000, -5.434
-9.910, 7.004, 3.000, -5.288
-9.820, 7.048, 3.000, -5.313
-9.919, 7.062, 3.000, -5.336
-9.896, 6.965, 3.000, -0.408
-9.995, 6.979, 3.000, -10.367
-9.906, 7.023, 3.000, -5.436
-9.832, 6.956, 3.000, -5.468
-9.931, 6.970, 3.000, -5.504
-9.857, 6.902, 3.000, -0.373
-9.956, 6.917, 3.000, -10.534
-9.965, 7.016, 3.000, -5.418
-9.974, 7.116, 3.000, -0.358
-9.951, 7.018, 3.000, -5.459
-9.861, 7.063, 3.000, -5.505
-9.960, 7.077, 3.000, -5.549
-9.871, 7.121, 3.000, -0.335
-9.970, 7.135, 3.000, -10.922
-9.896, 7.068, 3.000, -5.704
-9.995, 7.082, 3.000, -0.311
-9.946, 7.169, 3.000, -16.304
-9.847, 7.155, 3.000, -0.291
-9.946, 7.169, 3.000, -11.278
-9.923, 7.071, 3.000, -5.876
-9.932, 7.171, 3.000, -5.942
-9.883, 7.258, 3.000, -5.987
-9.982, 7.272, 3.000, -5.834
-9.933, 7.359, 3.000, -11.635
-9.910, 7.262, 3.000, -6.043
-9.811, 7.248, 3.000, -0.230
-9.910, 7.262, 3.000, -6.114
-9.887, 7.165, 3.000, -0.223
-9.986, 7.179, 3.000, -12.246
-9.887, 7.165, 3.000, -0.214
-9.986, 7.179, 3.000, -6.348
-9.964, 7.081, 3.000, -6.411
-9.941, 6.984, 3.000, -6.475
-9.867, 6.916, 3.000, -6.338
-9.966, 6.931, 3.000, -6.419
-9.867, 6.916, 3.000, -6.505
-9.966, 6.931, 3.000, -6.586
-9.917, 7.018, 3.000, -6.675
-9.981, 7.095, 3.000, -6.758
-9.907, 7.027, 3.000, -6.741
-9.990, 6.971, 3.000, -0.157
-9.891, 6.957, 3.000, -0.162
-9.990, 6.971, 3.000, -84.816
-9.916, 6.903, 3.000, -46.830
-9.842, 6.836, 3.000, -0.080
-9.941, 6.850, 3.000, -0.082
-9.892, 6.937, 3.000, -0.083
-9.991, 6.951, 3.000, -0.078
-10.000, 7.051, 3.000, -0.079
-9.901, 7.037, 3.000, -0.074
-10.000, 7.051, 3.000, -0.073
-9.926, 6.983, 3.000, -0.074
-9.903, 6.886, 3.000, -0.076
-9.814, 6.930, 3.000, -0.080
-9.913, 6.944, 3.000, -0.076
-9.814, 6.930, 3.000, -0.078
-9.913, 6.944, 3.000, -0.076
-9.921, 7.044, 3.000, -0.078
-9.985, 7.121, 3.000, -0.073
-9.886, 7.107, 3.000, -0.071
-9.985, 7.121, 3.000, -788.600
-9.895, 7.166, 3.000, -0.004
-9.994, 7.180, 3.000, -0.002
-9.904, 7.224, 3.000, -0.001
-4.999, 7.014, 3.000, -0.633
-5.098, 7.028, 3.000, -0.635
-5.197, 7.042, 3.000, -6.662
-5.296, 7.056, 3.000, -6.607
-5.395, 7.071, 3.000, -6.554
-5.494, 7.085, 3.000, -0.618
-5.593, 7.099, 3.000, -0.620
-5.692, 7.113, 3.000, -12.354
-5.791, 7.127, 3.000, -6.411
-5.890, 7.141, 3.000, -0.598
-5.989, 7.155, 3.000, -0.600
-6.088, 7.169, 3.000, -0.603
-6.187, 7.183, 3.000, -0.605
-6.286, 7.198, 3.000, -0.607
-6.385, 7.212, 3.000, -0.610
-6.484, 7.226, 3.000, -0.612
-6.583, 7.240, 3.000, -0.614
-6.682, 7.254, 3.000, -87.286
-6.781, 7.268, 3.000, -0.483
-6.880, 7.282, 3.000, -10.779
-6.979, 7.296, 3.000, -0.485
-7.078, 7.310, 3.000, -0.488
-7.177, 7.325, 3.000, -0.491
-7.276, 7.339, 3.000, -0.494
-7.375, 7.353, 3.000, -0.497
-7.474, 7.367, 3.000, -243.947
-7.573, 7.381, 3.000, -0.178
-7.672, 7.395, 3.000, -0.182
-7.771, 7.409, 3.000, -0.186
-7.870, 7.423, 3.000, -0.190
-7.969, 7.437, 3.000, -0.194
-8.068, 7.452, 3.000, -0.198
-8.167, 7.466, 3.000, -0.201
-8.266, 7.480, 3.000, -0.205
-8.365, 7.494, 3.000, -0.209
-8.464, 7.508, 3.000, -0.213
-8.563, 7.522, 3.000, -0.217
-8.662, 7.536, 3.000, -0.220
-8.761, 7.550, 3.000, -0.224
-8.860, 7.564, 3.000, -0.228
-8.959, 7.579, 3.000, -0.232
-9.058, 7.593, 3.000, -134.935
-9.157, 7.607, 3.000, -0.089
-9.256, 7.621, 3.000, -0.092
-9.355, 7.635, 3.000, -0.096
-9.454, 7.649, 3.000, -0.099
-9.553, 7.663, 3.000, -0.103
-9.652, 7.677, 3.000, -0.106
-9.751, 7.691, 3.000, -0.109
-9.850, 7.706, 3.000, -0.113
-9.949, 7.720, 3.000, -0.116
-9.859, 7.764, 3.000, -0.120
-9.958, 7.778, 3.000, -0.115
-9.869, 7.822, 3.000, -0.119
-9.968, 7.836, 3.000, -0.114
-5.099, 7.014, 3.000, -114.728
-5.198, 7.028, 3.000, -0.481
-5.297, 7.042, 3.000, -0.484
-5.396, 7.056, 3.000, -0.487
-5.495, 7.071, 3.000, -0.490
-5.594, 7.085, 3.000, -0.493
-5.693, 7.099, 3.000, -0.496
-5.792, 7.113, 3.000, -0.499
-5.891, 7.127, 3.000, -0.502
-5.990, 7.141, 3.000, -0.505
-6.089, 7.155, 3.000, -0.508
-6.188, 7.169, 3.000, -0.511
-6.287, 7.183, 3.000, -31.642
-6.386, 7.198, 3.000, -95.206
-6.485, 7.212, 3.000, -0.301
-6.584, 7.226, 3.000, -0.305
-6.683, 7.240, 3.000, -0.308
-6.782, 7.254, 3.000, -0.312
-6.881, 7.268, 3.000, -0.316
-6.980, 7.282, 3.000, -0.319
-7.079, 7.296, 3.000, -0.323
-7.178, 7.310, 3.000, -0.327
-7.277, 7.325, 3.000, -0.330
-7.376, 7.339, 3.000, -0.334
-7.475, 7.353, 3.000, -0.338
-7.574, 7.367, 3.000, -0.341
-7.673, 7.381, 3.000, -0.345
-7.772, 7.395, 3.000, -0.348
-7.871, 7.409, 3.000, -0.352
-7.970, 7.423, 3.000, -0.355
-8.069, 7.437, 3.000, -0.358
-8.168, 7.452, 3.000, -0.362
-8.267, 7.466, 3.000, -0.365
-8.366, 7.480, 3.000, -0.368
-8.465, 7.494, 3.000, -0.372
-8.564, 7.508, 3.000, -0.375
-8.663, 7.522, 3.000, -0.378
-8.762, 7.536, 3.000, -0.382
-8.861, 7.550, 3.000, -0.385
-8.960, 7.564, 3.000, -0.388
-9.059, 7.579, 3.000, -0.391
-9.158, 7.593, 3.000, -0.394
-9.257, 7.607, 3.000, -15.357
-9.356, 7.621, 3.000, -0.377
-9.455, 7.635, 3.000, -0.380
-9.554, 7.649, 3.000, -0.383
-9.653, 7.663, 3.000, -0.386
-9.752, 7.677, 3.000, -0.389
-9.851, 7.691, 3.000, -0.392
-9.950, 7.706, 3.000, -0.395
-9.851, 7.691, 3.000, -0.398
-9.950, 7.706, 3.000, -0.395
-9.860, 7.750, 3.000, -0.398
-9.959, 7.764, 3.000, -0.395
-9.910, 7.851, 3.000, -0.398
-9.888, 7.754, 3.000, -0.395
-9.987, 7.768, 3.000, -0.396
-9.938, 7.855, 3.000, -0.399
-9.915, 7.758, 3.000, -0.396
-9.951, 7.664, 3.000, -0.397
-9.861, 7.709, 3.000, -5.458
-9.960, 7.723, 3.000, -0.388
-9.969, 7.822, 3.000, -0.391
-9.920, 7.910, 3.000, -0.390
-9.897, 7.812, 3.000, -0.387
-9.996, 7.826, 3.000, -0.388
-9.923, 7.759, 3.000, -0.391
-9.833, 7.803, 3.000, -0.389
-9.932, 7.817, 3.000, -0.386
-9.842, 7.861, 3.000, -0.389
-9.941, 7.875, 3.000, -0.385
-9.892, 7.963, 3.000, -0.388
-9.991, 7.977, 3.000, -0.386
-9.969, 7.879, 3.000, -0.389
-9.977, 7.979, 3.000, -0.389
-9.955, 7.882, 3.000, -0.388
-9.856, 7.867, 3.000, -0.389
-9.955, 7.882, 3.000, -0.386
-9.865, 7.926, 3.000, -0.389
-9.964, 7.940, 3.000, -0.385
-9.915, 8.027, 3.000, -0.388
-9.825, 8.071, 3.000, -0.386
-9.924, 8.085, 3.000, -0.383
-9.825, 8.071, 3.000, -0.386
-9.924, 8.085, 3.000, -205.883
-9.933, 8.185, 3.000, -0.147
-9.969, 8.092, 3.000, -0.145
-9.870, 8.078, 3.000, -0.149
-9.969, 8.092, 3.000, -0.145
-9.870, 8.078, 3.000, -0.149
-5.099, 7.014, 3.000, -6.781
-5.198, 7.028, 3.000, -12.760
-5.297, 7.042, 3.000, -6.616
-5.396, 7.056, 3.000, -6.565
-5.495, 7.071, 3.000, -6.496
-5.594, 7.085, 3.000, -6.378
-5.693, 7.099, 3.000, -6.330
-5.792, 7.113, 3.000, -6.285
-5.891, 7.127, 3.000, -6.241
-5.990, 7.141, 3.000, -0.582
-6.089, 7.155, 3.000, -0.585
-6.188, 7.169, 3.000, -6.205
-6.287, 7.183, 3.000, -22.821
-6.386, 7.198, 3.000, -6.090
-6.485, 7.212, 3.000, -11.288
-6.584, 7.226, 3.000, -0.544
-6.683, 7.240, 3.000, -5.873
-6.782, 7.254, 3.000, -5.845
-6.881, 7.268, 3.000, -5.819
-6.980, 7.282, 3.000, -5.795
-7.079, 7.296, 3.000, -0.521
-7.178, 7.310, 3.000, -5.776
-7.277, 7.325, 3.000, -5.756
-7.376, 7.339, 3.000, -0.511
-7.475, 7.353, 3.000, -56.240
-7.574, 7.367, 3.000, -5.389
-7.673, 7.381, 3.000, -0.442
-7.772, 7.395, 3.000, -5.394
-7.871, 7.409, 3.000, -10.366
-7.970, 7.423, 3.000, -0.426
-8.069, 7.437, 3.000, -5.412
-8.168, 7.452, 3.000, -10.379
-8.267, 7.466, 3.000, -0.426
-8.366, 7.480, 3.000, -5.407
-8.465, 7.494, 3.000, -5.263
-8.564, 7.508, 3.000, -0.422
-8.663, 7.522, 3.000, -59.706
-8.762, 7.536, 3.000, -0.333
-8.861, 7.550, 3.000, -10.536
-8.960, 7.564, 3.000, -5.494
-9.059, 7.579, 3.000, -5.519
-9.158, 7.593, 3.000, -0.315
-9.257, 7.607, 3.000, -5.394
-9.356, 7.621, 3.000, -0.316
-9.455, 7.635, 3.000, -5.446
-9.554, 7.649, 3.000, -0.315
-9.653, 7.663, 3.000, -0.319
-9.752, 7.677, 3.000, -0.322
-9.851, 7.691, 3.000, -16.041
-9.950, 7.706, 3.000, -0.306
-9.901, 7.793, 3.000, -0.309
-10.000, 7.807, 3.000, -5.663
-9.901, 7.793, 3.000, -11.183
-10.000, 7.807, 3.000, -5.628
-9.910, 7.851, 3.000, -27.963
-9.946, 7.758, 3.000, -0.250
-9.857, 7.802, 3.000, -0.253
-9.956, 7.816, 3.000, -0.248
-9.882, 7.749, 3.000, -0.252
-9.981, 7.763, 3.000, -0.250
-9.958, 7.665, 3.000, -0.254
-9.967, 7.765, 3.000, -0.255
-9.877, 7.809, 3.000, -0.253
-9.976, 7.823, 3.000, -0.249
-9.877, 7.809, 3.000, -0.253
-9.976, 7.823, 3.000, -0.249
-9.985, 7.923, 3.000, -0.253
-9.936, 8.010, 3.000, -0.251
-9.913, 7.913, 3.000, -11.540
-9.814, 7.899, 3.000, -11.603
-9.913, 7.913, 3.000, -0.230
-9.864, 8.000, 3.000, -11.894
-9.963, 8.014, 3.000, -36.142
-9.890, 7.947, 3.000, -6.385
-9.989, 7.961, 3.000, -12.848
-9.915, 7.893, 3.000, -6.635
-9.841, 7.826, 3.000, -0.153
-9.940, 7.840, 3.000, -6.612
-9.917, 7.742, 3.000, -54.344
-9.926, 7.842, 3.000, -7.204
-9.852, 7.774, 3.000, -14.413
-9.951, 7.788, 3.000, -7.305
-9.929, 7.691, 3.000, -69.526
-9.992, 7.768, 3.000, -8.255
-9.943, 7.856, 3.000, -8.115
-9.869, 7.788, 3.000, -8.221
-9.968, 7.802, 3.000, -8.334
-9.895, 7.735, 3.000, -0.018
-9.994, 7.749, 3.000, -16.999
-9.971, 7.651, 3.000, -8.682
-9.948, 7.554, 3.000, -26.629
-9.849, 7.540, 3.000, -0.020
-9.948, 7.554, 3.000, -0.021
-9.899, 7.641, 3.000, -9.069
-9.998, 7.655, 3.000, -17.866
-9.976, 7.558, 3.000, -8.985
-9.984, 7.657, 3.000, -18.157
-9.885, 7.643, 3.000, -9.084
-9.984, 7.657, 3.000, -9.041
-9.993, 7.757, 3.000, -9.161
-9.894, 7.743, 3.000, -0.014
-5.099, 7.014, 3.000, -6.781
-5.198, 7.028, 3.000, -6.725
-5.297, 7.042, 3.000, -6.670
-5.396, 7.056, 3.000, -6.618
-5.495, 7.071, 3.000, -0.620
-5.594, 7.085, 3.000, -6.570
-5.693, 7.099, 3.000, -6.434
-5.792, 7.113, 3.000, -67.085
-5.891, 7.127, 3.000, -5.810
-5.990, 7.141, 3.000, -11.036
-6.089, 7.155, 3.000, -0.495
-6.188, 7.169, 3.000, -5.735
-6.287, 7.183, 3.000, -0.491
-6.386, 7.198, 3.000, -21.384
-6.485, 7.212, 3.000, -0.479
-6.584, 7.226, 3.000, -0.482
-6.683, 7.240, 3.000, -0.485
-6.782, 7.254, 3.000, -0.488
-6.881, 7.268, 3.000, -5.594
-6.980, 7.282, 3.000, -5.580
-7.079, 7.296, 3.000, -5.568
-7.178, 7.310, 3.000, -5.558
-7.277, 7.325, 3.000, -5.551
-7.376, 7.339, 3.000, -5.444
-7.475, 7.353, 3.000, -5.441
-7.574, 7.367, 3.000, -84.571
-7.673, 7.381, 3.000, -5.257
-7.772, 7.395, 3.000, -10.255
-7.871, 7.409, 3.000, -5.340
-7.970, 7.423, 3.000, -5.374
-8.069, 7.437, 3.000, -0.323
-8.168, 7.452, 3.000, -5.304
-8.267, 7.466, 3.000, -0.321
-8.366, 7.480, 3.000, -0.325
-8.465, 7.494, 3.000, -0.328
-8.564, 7.508, 3.000, -0.332
-8.663, 7.522, 3.000, -5.355
-8.762, 7.536, 3.000, -10.505
-8.861, 7.550, 3.000, -10.576
-8.960, 7.564, 3.000, -5.457
-9.059, 7.579, 3.000, -5.507
-9.158, 7.593, 3.000, -5.559
-9.257, 7.607, 3.000, -0.293
-9.356, 7.621, 3.000, -5.616
-9.455, 7.635, 3.000, -10.895
-9.554, 7.649, 3.000, -5.675
-9.653, 7.663, 3.000, -5.737
-9.752, 7.677, 3.000, -11.287
-9.851, 7.691, 3.000, -0.259
-9.950, 7.706, 3.000, -46.208
-9.876, 7.638, 3.000, -0.209
-9.975, 7.652, 3.000, -12.240
-9.926, 7.739, 3.000, -6.341
-9.877, 7.826, 3.000, -12.735
-9.976, 7.841, 3.000, -6.558
-9.877, 7.826, 3.000, -12.846
-9.976, 7.841, 3.000, -6.627
-9.985, 7.940, 3.000, -20.154
-9.994, 8.040, 3.000, -6.986
-9.920, 7.972, 3.000, -7.076
-9.929, 8.072, 3.000, -0.106
-9.880, 8.159, 3.000, -13.847
-9.979, 8.173, 3.000, -7.113
-9.987, 8.273, 3.000, -7.211
-9.914, 8.205, 3.000, -7.305
-9.891, 8.108, 3.000, -14.602
-9.990, 8.122, 3.000, -7.386
-9.941, 8.209, 3.000, -21.999
-9.918, 8.112, 3.000, -0.063
-9.819, 8.098, 3.000, -0.065
-9.918, 8.112, 3.000, -0.061
-9.982, 8.189, 3.000, -0.065
-9.933, 8.276, 3.000, -0.065
-9.969, 8.183, 3.000, -0.060
-9.920, 8.270, 3.000, -0.065
-9.929, 8.370, 3.000, -0.060
-9.965, 8.277, 3.000, -7.375
-9.916, 8.364, 3.000, -7.480
-9.867, 8.451, 3.000, -0.044
-5.099, 7.014, 3.000, -6.673
-5.198, 7.028, 3.000, -0.627
-5.297, 7.042, 3.000, -6.623
-5.396, 7.056, 3.000, -12.480
-5.495, 7.071, 3.000, -0.604
-5.594, 7.085, 3.000, -6.475
-5.693, 7.099, 3.000, -12.395
-5.792, 7.113, 3.000, -6.529
-5.891, 7.127, 3.000, -6.482
-5.990, 7.141, 3.000, -6.328
-6.089, 7.155, 3.000, -6.283
-6.188, 7.169, 3.000, -6.240
-6.287, 7.183, 3.000, -6.199
-6.386, 7.198, 3.000, -0.581
-6.485, 7.212, 3.000, -0.584
-6.584, 7.226, 3.000, -0.586
-6.683, 7.240, 3.000, -0.589
-6.782, 7.254, 3.000, -0.591
-6.881, 7.268, 3.000, -33.528
-6.980, 7.282, 3.000, -5.917
-7.079, 7.296, 3.000, -0.548
-7.178, 7.310, 3.000, -0.551
-7.277, 7.325, 3.000, -0.554
-7.376, 7.339, 3.000, -0.556
-7.475, 7.353, 3.000, -0.559
-7.574, 7.367, 3.000, -0.561
-7.673, 7.381, 3.000, -0.564
-7.772, 7.395, 3.000, -0.566
-7.871, 7.409, 3.000, -0.568
-7.970, 7.423, 3.000, -0.571
-8.069, 7.437, 3.000, -5.915
-8.168, 7.452, 3.000, -5.889
-8.267, 7.466, 3.000, -11.058
-8.366, 7.480, 3.000, -0.546
-8.465, 7.494, 3.000, -5.727
-8.564, 7.508, 3.000, -5.710
-8.663, 7.522, 3.000, -0.537
-8.762, 7.536, 3.000, -0.539
-8.861, 7.550, 3.000, -0.542
-8.960, 7.564, 3.000, -0.544
-9.059, 7.579, 3.000, -0.547
-9.158, 7.593, 3.000, -0.549
-9.257, 7.607, 3.000, -91.237
-9.356, 7.621, 3.000, -0.463
-9.455, 7.635, 3.000, -0.466
-9.554, 7.649, 3.000, -0.469
-9.653, 7.663, 3.000, -0.472
-9.752, 7.677, 3.000, -0.474
-9.851, 7.691, 3.000, -0.477
-9.950, 7.706, 3.000, -0.480
-9.876, 7.638, 3.000, -0.482
-9.975, 7.652, 3.000, -0.481
-9.901, 7.585, 3.000, -0.483
-9.998, 7.613, 3.000, -0.482
-9.908, 7.657, 3.000, -0.484
-9.990, 7.600, 3.000, -0.482
-9.891, 7.586, 3.000, -0.484
-9.990, 7.600, 3.000, -0.482
-9.901, 7.645, 3.000, -0.484
-10.000, 7.659, 3.000, -0.481
-9.977, 7.561, 3.000, -0.484
-9.878, 7.547, 3.000, -0.484
-9.977, 7.561, 3.000, -0.482
-9.928, 7.648, 3.000, -0.484
-9.991, 7.726, 3.000, -0.482
-9.892, 7.712, 3.000, -0.483
-9.991, 7.726, 3.000, -100.182
-9.942, 7.813, 3.000, -0.354
-9.979, 7.720, 3.000, -0.351
-9.956, 7.622, 3.000, -0.354
-9.992, 7.529, 3.000, -0.354
-9.893, 7.515, 3.000, -0.357
-9.992, 7.529, 3.000, -0.353
-9.902, 7.573, 3.000, -0.357
-9.939, 7.480, 3.000, -0.353
-9.865, 7.413, 3.000, -0.355
-9.964, 7.427, 3.000, -0.354
-9.865, 7.413, 3.000, -0.357
-9.964, 7.427, 3.000, -121.197
-9.915, 7.514, 3.000, -0.223
-9.924, 7.614, 3.000, -0.219
-9.987, 7.691, 3.000, -0.218
-9.938, 7.778, 3.000, -0.219
-9.839, 7.764, 3.000, -0.215
-9.938, 7.778, 3.000, -0.211
-9.915, 7.681, 3.000, -0.215
-9.866, 7.768, 3.000, -0.216
-9.965, 7.782, 3.000, -0.212
-9.866, 7.768, 3.000, -0.216
-9.965, 7.782, 3.000, -0.212
-9.876, 7.826, 3.000, -0.216
-9.975, 7.840, 3.000, -0.211
-9.876, 7.826, 3.000, -0.215
-9.975, 7.840, 3.000, -0.211
-9.983, 7.940, 3.000, -0.215
-9.894, 7.984, 3.000, -0.214
-9.993, 7.998, 3.000, -0.209
-9.919, 7.931, 3.000, -0.213
-9.955, 7.837, 3.000, -0.211
-9.906, 7.925, 3.000, -0.214
-9.970, 8.002, 3.000, -0.211
-9.978, 8.101, 3.000, -0.212
-9.889, 8.146, 3.000, -116.708
-9.988, 8.160, 3.000, -0.091
-9.889, 8.146, 3.000, -0.095
-9.988, 8.160, 3.000, -0.091
-9.889, 8.146, 3.000, -0.095
-9.988, 8.160, 3.000, -0.091
-9.898, 8.204, 3.000, -0.095
-9.997, 8.218, 3.000, -0.090
-9.948, 8.305, 3.000, -0.094
-9.925, 8.208, 3.000, -0.090
-9.836, 8.252, 3.000, -0.091
-9.935, 8.266, 3.000, -0.086
-9.836, 8.252, 3.000, -0.090
-9.935, 8.266, 3.000, -0.086
-9.861, 8.199, 3.000, -0.090
-9.960, 8.213, 3.000, -0.089
-9.969, 8.313, 3.000, -0.093
-9.879, 8.357, 3.000, -0.091
-9.978, 8.371, 3.000, -0.086
-9.879, 8.357, 3.000, -0.090
-9.978, 8.371, 3.000, -0.086
-9.904, 8.303, 3.000, -0.090
-9.815, 8.348, 3.000, -0.088
-9.914, 8.362, 3.000, -0.083
-9.922, 8.461, 3.000, -0.087
-9.873, 8.548, 3.000, -0.085
-9.972, 8.563, 3.000, -0.081
-9.899, 8.495, 3.000, -0.085
-9.998, 8.509, 3.000, -0.083
-9.908, 8.553, 3.000, -0.088
-9.990, 8.497, 3.000, -0.083
-9.901, 8.541, 3.000, -0.088
-10.000, 8.555, 3.000, -0.083
-9.910, 8.600, 3.000, -0.087
-9.974, 8.677, 3.000, -0.082
-9.951, 8.579, 3.000, -0.083
-9.960, 8.679, 3.000, -43.670
-9.937, 8.582, 3.000, -0.041
-9.863, 8.514, 3.000, -0.042
-9.962, 8.528, 3.000, -0.041
-9.913, 8.615, 3.000, -0.045
-9.949, 8.522, 3.000, -0.040
-9.876, 8.455, 3.000, -0.044
-9.975, 8.469, 3.000, -0.043
-9.952, 8.371, 3.000, -0.047
-9.903, 8.459, 3.000, -0.049
-9.880, 8.361, 3.000, -0.044
-9.979, 8.375, 3.000, -0.046
-9.889, 8.420, 3.000, -0.050
-9.988, 8.434, 3.000, -0.044
-9.966, 8.336, 3.000, -0.049
-9.974, 8.436, 3.000, -0.050
-9.925, 8.523, 3.000, -0.048
-9.962, 8.430, 3.000, -0.043
-9.872, 8.474, 3.000, -0.047
-9.971, 8.488, 3.000, -0.042
-9.881, 8.532, 3.000, -0.046
-9.980, 8.547, 3.000, -0.041
-9.891, 8.591, 3.000, -0.045
-9.990, 8.605, 3.000, -0.040
-9.967, 8.508, 3.000, -0.044
-9.893, 8.440, 3.000, -0.046
-9.992, 8.454, 3.000, -0.044
-9.903, 8.498, 3.000, -0.048
-9.939, 8.405, 3.000, -0.043
-9.948, 8.505, 3.000, -0.047
-9.874, 8.437, 3.000, -0.045
-9.973, 8.451, 3.000, -0.043
-9.899, 8.384, 3.000, -0.047
-9.998, 8.398, 3.000, -0.046
-9.924, 8.330, 3.000, -0.050
-9.961, 8.237, 3.000, -0.049
-9.862, 8.223, 3.000, -0.053
-9.961, 8.237, 3.000, -0.049
-9.871, 8.281, 3.000, -0.053
-9.970, 8.296, 3.000, -0.048
-9.871, 8.281, 3.000, -0.052
-9.970, 8.296, 3.000, -0.048
-9.896, 8.228, 3.000, -0.052
-9.995, 8.242, 3.000, -0.050
-9.972, 8.145, 3.000, -0.054
-9.923, 8.232, 3.000, -0.056
-9.901, 8.134, 3.000, -0.052
-10.000, 8.149, 3.000, -0.054
-9.901, 8.134, 3.000, -0.057
-10.000, 8.149, 3.000, -0.054
-9.926, 8.081, 3.000, -0.057
-9.877, 8.168, 3.000, -0.056
-9.976, 8.182, 3.000, -0.051
-9.902, 8.115, 3.000, -0.055
-9.812, 8.159, 3.000, -0.054
-9.911, 8.173, 3.000, -0.049
-9.812, 8.159, 3.000, -0.053
-9.911, 8.173, 3.000, -0.049
-9.838, 8.106, 3.000, -0.053
-9.937, 8.120, 3.000, -0.052
-9.847, 8.164, 3.000, -46.580
-9.946, 8.178, 3.000, -0.019
-9.847, 8.164, 3.000, -0.022
-9.946, 8.178, 3.000, -0.019
-9.847, 8.164, 3.000, -0.022
-9.946, 8.178, 3.000, -0.019
-9.955, 8.278, 3.000, -0.022
-9.991, 8.184, 3.000, -0.018
-10.000, 8.284, 3.000, -0.023
-9.951, 8.371, 3.000, -0.019
-9.861, 8.415, 3.000, -0.014
-9.960, 8.430, 3.000, -0.009
-5.099, 7.014, 3.000, -80.927
-5.198, 7.028, 3.000, -0.509
-5.297, 7.042, 3.000, -0.512
-5.396, 7.056, 3.000, -0.515
-5.495, 7.071, 3.000, -0.518
-5.594, 7.085, 3.000, -0.521
-5.693, 7.099, 3.000, -0.524
-5.792, 7.113, 3.000, -0.526
-5.891, 7.127, 3.000, -0.529
-5.990, 7.141, 3.000, -0.532
-6.089, 7.155, 3.000, -0.535
-6.188, 7.169, 3.000, -0.538
-6.287, 7.183, 3.000, -0.540
-6.386, 7.198, 3.000, -0.543
